Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
0,0.007324219000000001,0.8701171999999999,-0.4770508,0.7324219,-1.8310549999999999,2.441406,119.5697,10.66223,-118.1854,14.93333,-8.291667,0.275,1
523,-0.008300781,0.8637695,-0.5039063,1.8310549999999999,1.098633,0.0,120.3223,9.673462,-117.0923,14.79167,-8.633333,0.225,1
723,0.007324219000000001,0.875,-0.49804689999999996,0.9765625,-0.6713867,-1.159668,120.5914,9.415283,-117.2186,14.7,-8.558333,-0.008333334000000001,1
973,0.01171875,0.8720703,-0.5043945,-0.24414059999999999,-0.4882813,-0.7324219,120.5969,9.431763,-117.2681,14.89167,-8.633333,-0.05833333,1
1183,0.01171875,0.8720703,-0.5043945,-0.24414059999999999,-0.4882813,-0.7324219,120.5969,9.431763,-117.2681,14.78333,-8.375,-0.05,1
1383,0.01171875,0.8720703,-0.5043945,-0.24414059999999999,-0.4882813,-0.7324219,120.5969,9.431763,-117.2681,14.84167,-8.433333,0.125,1
2593,0.011230470000000001,0.8657227,-0.49804689999999996,1.098633,-0.5493163999999999,-3.356934,120.3278,9.871216,-118.3118,14.741670000000001,-8.541667,0.1,1
2800,-0.03271484,0.8618163999999999,-0.5058594,1.220703,-1.464844,1.525879,120.7178,9.942627,-117.6416,14.75,-8.683333,-0.1416667,1
3063,0.02197266,0.8808594,-0.4858398,-8.972168,-3.173828,-0.4882813,119.3445,10.05798,-119.3829,54.575,-79.89167,68.29166,1
3363,0.0,0.8847655999999999,-0.45898439999999996,-10.37598,-0.5493163999999999,-3.90625,117.3065,10.34912,-119.5697,15.26667,-7.5,-1.216667,1
3613,-0.024902340000000002,0.9067383,-0.4008789,-9.58252,-3.662109,-2.075195,114.494,11.22253,-119.8499,15.64167,-6.833333,-1.166667,1
3913,-0.03662109,0.9375,-0.36572269999999996,-7.93457,-6.469727,1.342773,111.7035,11.27197,-121.5308,15.98333,-5.983333,-1.241667,1
4213,-0.03076172,0.9448242,-0.3203125,-6.652832,-2.807617,-1.037598,109.2535,10.9259,-122.6514,16.24167,-5.308333,-0.9833333999999999,1
4523,-0.03417969,0.9458008,-0.28613279999999996,-4.089355,0.42724609999999996,-3.112793,107.3639,10.95337,-123.0414,16.175,-4.708333,-0.2166667,1
4833,-0.056640630000000004,0.9458008,-0.29492189999999996,0.42724609999999996,0.6713867,1.586914,106.9849,10.45898,-122.9425,16.25833,-4.825,0.3416667,1
5113,-0.005859375,0.9506836,-0.2880859,4.943848,-2.563477,0.793457,107.8088,9.431763,-124.4696,56.63334,-85.98333,59.31667,1
5383,-0.01855469,0.9501953,-0.31835939999999996,6.469727,3.662109,-0.5493163999999999,109.1656,8.860474,-124.3872,16.175,-5.733333,0.7166667,1
5673,-0.011230470000000001,0.9370117,-0.347168,1.8310549999999999,-0.24414059999999999,-0.42724609999999996,110.3302,8.063965,-123.8379,16.11667,-5.883333,0.0,1
5863,-0.009765625,0.9384766,-0.34375000000000006,-2.13623,-1.281738,0.06103516,110.1929,7.767334,-124.118,15.95833,-5.8,-0.225,1
6053,-0.0078125,0.9433594,-0.3286133,-0.9155272999999999,-3.051758,-0.6713867,109.8248,7.476196,-124.6234,16.03333,-5.583333,-0.05,1
6263,-0.01269531,0.9394530999999999,-0.33349609999999996,0.6103516,-0.3051758,-1.403809,109.7534,7.3718259999999995,-124.7772,16.08333,-5.733333,0.15,1
6473,-0.01611328,0.9394530999999999,-0.3349609,1.098633,-0.793457,-1.098633,109.9347,7.245483,-124.8157,16.06667,-5.758333,0.06666667,1
6693,-0.01757813,0.9394530999999999,-0.3393555,0.9765625,-0.7324219,-1.342773,110.1984,7.146606,-124.942,56.21667,-85.15833,60.63334,1
6943,-0.01953125,0.9360352,-0.3442383,0.4882813,-0.6713867,-1.281738,110.2917,7.075195,-124.9475,16.05,-5.866667,0.01666667,1
7213,-0.01757813,0.9365234,-0.34033199999999997,0.4882813,-0.5493163999999999,-0.42724609999999996,110.3357,6.992798,-125.0739,16.03333,-5.833333,0.1166667,1
7423,-0.01953125,0.9379883,-0.3457031,0.24414059999999999,-1.159668,-0.7324219,110.451,6.80603,-125.0903,16.025,-5.908333,-0.01666667,1
7643,-0.01806641,0.9360352,-0.3422852,-1.098633,0.12207029999999999,-0.6713867,110.2698,6.542358,-125.1782,16.08333,-5.775,-0.08333334,1
7924,-0.01660156,0.9389647999999999,-0.3364258,0.1831055,-0.4882813,-0.6713867,110.105,6.28418,-125.1947,56.21667,-85.325,60.76667,1
8183,-0.01855469,0.9360352,-0.3388672,0.9155272999999999,-0.3051758,-1.037598,110.2039,6.17981,-125.2441,16.075,-5.858333,0.1416667,1
8433,-0.015625,0.9355469,-0.3432617,0.5493163999999999,-0.9155272999999999,-1.281738,110.3796,6.047974,-125.2716,56.19167,-85.06667,60.80833,1
8733,-0.01757813,0.9394530999999999,-0.3432617,0.1831055,-0.6713867,-1.220703,110.4401,5.993042,-125.3705,16.025,-5.85,0.01666667,1
9073,-0.01855469,0.934082,-0.3398438,0.3051758,-0.7324219,-1.037598,110.451,5.932617,-125.4584,16.04167,-5.883333,0.05833333,1
9343,-0.02001953,0.9350586,-0.3457031,0.6103516,-0.24414059999999999,-1.037598,110.5609,5.817261,-125.4858,16.05,-5.875,0.05,1
9724,-0.0234375,0.934082,-0.3461914,0.0,-0.4882813,-0.9765625,110.6213,5.679932,-125.5682,56.325,-84.94167,60.93333,1
9973,-0.02734375,0.9375,-0.34179689999999996,-0.5493163999999999,-1.89209,-0.8544921999999999,110.6268,5.668945,-125.7111,16.0,-5.833333,-0.08333334,1
10223,-0.030273440000000002,0.9321288999999999,-0.34814449999999997,0.3051758,-2.319336,-0.42724609999999996,110.4401,5.586548,-126.0352,16.05833,-5.833333,-0.04166667,1
10443,-0.015625,0.9384766,-0.3432617,0.3662109,1.403809,-2.197266,110.451,5.9545900000000005,-126.5186,56.75834,-84.91666,60.36666,1
10673,-0.041015630000000004,0.9370117,-0.3442383,0.5493163999999999,1.159668,-0.6713867,110.5389,5.83374,-125.9583,15.95,-5.841667,0.1666667,1
10923,-0.0234375,0.9375,-0.3505859,0.3662109,-0.24414059999999999,-1.159668,110.7257,5.50415,-126.1725,56.625,-84.95834,60.84167,1
11163,-0.01953125,0.9389647999999999,-0.34912109999999996,-0.3662109,-0.9765625,-0.6713867,110.7202,5.542603,-126.2604,15.925,-5.9,-0.06666667,1
11443,-0.024902340000000002,0.9414062999999999,-0.3447266,-0.5493163999999999,-1.159668,-0.9765625,110.6323,5.493164,-126.3593,16.01667,-5.916667,0.025,1
11653,-0.022460940000000002,0.9350586,-0.3461914,0.5493163999999999,-1.098633,-1.281738,110.6268,5.537109,-126.4581,15.991670000000001,-5.883333,0.05,1
11863,-0.02783203,0.9375,-0.347168,-0.06103516,-0.24414059999999999,-0.793457,110.6927,5.482178,-126.4526,56.73333,-84.925,60.725,1
12113,-0.024902340000000002,0.9331054999999999,-0.34375000000000006,0.6103516,0.24414059999999999,-0.5493163999999999,110.7037,5.388794,-126.4636,15.975,-5.925,0.05833333,1
12353,-0.01953125,0.9428711,-0.34863279999999996,0.24414059999999999,-0.3662109,-0.6103516,110.8301,5.278931,-126.5076,15.95833,-5.966667,0.06666667,1
12663,-0.02392578,0.9389647999999999,-0.3476563,0.06103516,-0.8544921999999999,-1.098633,110.874,5.130615,-126.4911,56.59167,-84.90833,60.68333,1
12963,-0.02539063,0.9394530999999999,-0.3510742,0.12207029999999999,-0.42724609999999996,-0.7324219,110.9015,5.141602,-126.5295,15.866670000000001,-5.941667,0.03333333,1
13293,-0.02001953,0.9365234,-0.3525391,-0.3051758,-1.7700200000000001,-1.403809,110.907,5.174561,-126.6449,15.96667,-5.908333,0.01666667,1
13573,-0.02050781,0.9355469,-0.347168,0.3051758,-0.24414059999999999,-0.5493163999999999,110.896,5.119629,-126.6724,56.625,-84.93333,60.975,1
13843,-0.02392578,0.9355469,-0.3525391,0.12207029999999999,-1.098633,-0.6713867,110.929,5.092163,-126.7218,16.00833,-5.925,0.05833333,1
14133,-0.02294922,0.9335937999999999,-0.3544922,-0.24414059999999999,-0.24414059999999999,-1.220703,110.9015,5.042725,-126.7273,15.991670000000001,-5.9,0.0,1
14343,-0.02539063,0.9384766,-0.3510742,0.42724609999999996,-0.42724609999999996,-1.037598,110.8466,5.042725,-126.8152,56.73333,-84.94167,60.85833,1
14583,-0.022460940000000002,0.9394530999999999,-0.34960939999999996,0.1831055,-0.5493163999999999,-0.9765625,110.896,5.097656,-126.8591,16.04167,-5.983333,-0.075,1
14843,-0.0234375,0.9335937999999999,-0.3554688,0.793457,-1.281738,-0.793457,110.885,5.097656,-126.9141,16.01667,-5.925,0.03333333,1
15053,-0.028808590000000002,0.9370117,-0.3461914,-0.6713867,-1.7700200000000001,-1.037598,110.863,5.081177,-126.9635,15.90833,-5.975,0.1166667,1
15273,-0.020996090000000002,0.9345703,-0.3505859,1.098633,0.1831055,-0.4882813,111.0278,4.9823,-126.9965,56.71667,-84.78333,60.94167,1
15523,-0.02685547,0.9296875,-0.3515625,1.6479489999999999,-1.159668,-1.220703,111.1487,4.9273679999999995,-126.936,15.9,-5.883333,0.24166669999999998,1
15763,-0.006347656,0.9140625,-0.3686523,-1.159668,-0.6103516,-4.089355,111.2476,5.317383,-126.936,56.8,-84.4,60.98333,1
16013,-0.01416016,0.9462891,-0.3598633,-3.845215,6.9580079999999995,1.6479489999999999,111.6156,5.08667,-126.2439,15.45833,-6.241667,0.25,1
16293,0.004882813000000001,0.9165038999999999,-0.34863279999999996,0.6103516,-2.197266,2.868652,111.4178,4.169312,-127.2876,56.13334,-85.16666,61.29167,1
16593,-0.06347656,0.9423828,-0.3442383,5.126953,2.197266,-0.6103516,111.8243,4.432983,-126.8701,15.991670000000001,-6.533333,-0.3083333,1
16893,0.008789063,0.9375,-0.3852539,-3.662109,-3.356934,-2.502441,111.8353,4.817505,-127.6666,56.66667,-84.55833,61.25834,1
17193,-0.04150391,0.9287109,-0.34375000000000006,-0.6713867,-0.6103516,-2.197266,111.3849,5.004272,-127.2766,56.83333,-84.48333,61.025,1
17463,-0.03271484,0.9316405999999999,-0.3388672,-3.234863,2.502441,-1.89209,110.7806,5.31189,-127.0844,15.991670000000001,-5.841667,-0.15833329999999998,1
18883,-0.02587891,0.9301758,-0.3696289,4.089355,2.441406,-0.9155272999999999,112.2858,5.432739,-127.8534,15.83333,-6.458333,0.4166667,1
19123,-0.03515625,0.9321288999999999,-0.3935547,0.7324219,-0.6713867,0.5493163999999999,113.0164,5.031738,-127.2601,56.65833,-83.64167,62.31667,1
19463,-0.02392578,0.9272461,-0.38037109999999996,-4.455566,-0.12207029999999999,-0.6713867,112.2198,4.855957,-127.381,15.85833,-5.941667,-0.7416667,1
19663,-0.03173828,0.9379883,-0.3535156,-3.723145,-0.3051758,-0.3662109,111.3739,4.779053,-127.2821,15.71667,-6.025,-0.08333334,1
19883,-0.02685547,0.9296875,-0.34033199999999997,2.868652,-0.3051758,-2.380371,111.3849,4.954834,-127.4634,15.96667,-6.133333,0.7666666999999999,1
20093,-0.02197266,0.9238280999999999,-0.3583984,5.065918,-1.342773,-5.065918,112.4231,5.586548,-127.4908,15.88333,-6.583333,0.2583333,1
20313,-0.03369141,0.9204102,-0.37939449999999997,1.525879,-3.173828,-0.1831055,113.0933,5.438232,-127.3206,56.96667,-83.41666,62.375,1
20543,-0.03125,0.9248046999999999,-0.37255859999999996,0.7324219,-0.12207029999999999,-0.8544921999999999,112.9395,5.553589,-127.5293,15.375,-7.025,-0.03333333,1
20793,-0.006347656,0.9243163999999999,-0.3666992,-0.8544921999999999,1.586914,-0.3662109,112.3627,5.372314,-127.6501,56.94167,-83.85833,62.15,1
21043,-0.01855469,0.9355469,-0.375,6.9580079999999995,2.563477,-1.8310549999999999,113.0548,5.141602,-127.4963,15.675,-6.691667,0.2083333,1
21313,-0.01416016,0.9101562999999999,-0.4140625,0.3662109,-1.159668,-0.4882813,113.6646,5.245972,-127.8918,15.53333,-6.025,0.6000000000000001,1
21543,-0.017089840000000002,0.9194336,-0.3549805,-6.9580079999999995,1.464844,-1.525879,113.2031,5.39978,-127.9852,56.76667,-83.75833,62.175,1
21813,-0.026367190000000002,0.9316405999999999,-0.3696289,1.220703,-1.281738,-1.464844,112.5934,5.394287,-128.1335,56.75,-83.89167,62.03333,1
22103,-0.02441406,0.9160155999999999,-0.3779297,0.5493163999999999,-0.3662109,-0.9765625,112.4561,5.432739,-128.2983,15.88333,-6.258333,0.03333333,1
22343,-0.0234375,0.9287109,-0.378418,2.13623,-1.342773,-0.7324219,112.8186,5.344849,-128.3093,15.70833,-6.566667,0.1333333,1
22623,-0.028808590000000002,0.9267578,-0.38916019999999996,0.6713867,-0.06103516,-1.159668,113.0493,5.31189,-128.2764,56.55,-83.81667,62.225,1
22903,-0.024902340000000002,0.9213867,-0.3974609,0.1831055,-0.3051758,-1.159668,113.1482,5.289917,-128.3313,15.76667,-6.6,0.06666667,1
23173,-0.02587891,0.9160155999999999,-0.38818359999999996,0.9765625,-1.037598,-0.793457,113.2196,5.234985,-128.3862,15.7,-6.566667,0.09166667,1
23443,-0.024902340000000002,0.918457,-0.3935547,0.793457,-0.6713867,-1.098633,113.4064,5.234985,-128.4631,56.75,-83.60833,62.29167,1
23753,-0.02685547,0.9145508,-0.390625,0.24414059999999999,-0.7324219,-1.098633,113.5272,5.344849,-128.5895,15.725,-6.7,0.075,1
23993,-0.028808590000000002,0.9213867,-0.394043,-0.24414059999999999,-0.8544921999999999,-1.281738,113.5876,5.443726,-128.6005,15.7,-6.641667,-0.09166667,1
24203,-0.03222656,0.9213867,-0.38867189999999996,-0.3662109,0.1831055,-0.6713867,113.4668,5.559082,-128.6279,15.775,-6.691667,-0.24166669999999998,1
24423,-0.02197266,0.9213867,-0.3862305,-1.525879,-2.502441,-0.9765625,112.8845,5.690918,-128.5345,56.85833,-83.68333,61.90833,1
24683,-0.03125,0.9208984,-0.37939449999999997,-5.67627,-0.3662109,-1.89209,112.132,5.646973,-128.5181,15.69167,-5.958333,0.025,1
24933,-0.04003906,0.9404296999999999,-0.3554688,-2.502441,-3.90625,1.586914,111.6101,5.493164,-128.54,15.866670000000001,-5.933333,-0.30000000000000004,1
25153,-0.02734375,0.9301758,-0.34960939999999996,-1.037598,3.356934,-0.3051758,110.8026,5.449219,-128.3917,56.675,-84.81667,60.91667,1
25393,-0.03417969,0.9355469,-0.3398438,0.9155272999999999,-3.051758,1.403809,110.7477,4.993286,-128.2379,16.03333,-6.0,0.2666667,1
25633,-0.01611328,0.9331054999999999,-0.3452148,1.953125,1.281738,-0.9155272999999999,111.0223,4.762573,-128.4412,16.025,-6.041667,0.1833333,1
25853,-0.011230470000000001,0.9311522999999999,-0.3520508,1.586914,0.4882813,-1.220703,111.4343,4.795532,-128.3698,15.975,-6.183333,0.1333333,1
26163,-0.017089840000000002,0.9350586,-0.35693359999999996,1.220703,-1.6479489999999999,-1.037598,111.665,4.943848,-128.6169,56.35,-84.49167,61.375,1
26463,-0.02978516,0.9291992,-0.36425779999999996,0.24414059999999999,-0.1831055,-1.89209,111.7804,5.202026,-128.5565,15.89167,-6.15,-0.01666667,1
26764,-0.01660156,0.9291992,-0.3554688,0.5493163999999999,1.6479489999999999,-1.8310549999999999,111.6321,5.72937,-128.9136,56.91667,-84.16666,61.2,1
27063,-0.03173828,0.9331054999999999,-0.3535156,-0.24414059999999999,-1.6479489999999999,-0.8544921999999999,111.3574,5.339355,-128.6774,56.81667,-84.50833,61.3,1
27343,-0.02392578,0.9350586,-0.3535156,0.9155272999999999,0.4882813,0.1831055,111.3025,5.174561,-128.6609,16.00833,-6.058333,0.2583333,1
27583,-0.01904297,0.9350586,-0.3632813,1.708984,0.06103516,1.342773,111.9012,4.87793,-128.5071,56.41667,-84.35833,62.09167,1
27923,0.004882813000000001,0.9375,-0.3740234,3.90625,-0.24414059999999999,0.0,112.4945,4.894409,-128.7048,16.05,-6.508333,-0.15833329999999998,1
28133,-0.01904297,0.9169921999999999,-0.3818359,-0.5493163999999999,-2.807617,-2.01416,112.4396,4.833984,-128.5181,15.94167,-6.358333,-0.17500000000000002,1
28343,-0.02734375,0.9267578,-0.3671875,-2.746582,-1.281738,-1.159668,112.066,5.037231,-128.6829,15.85,-6.266667,-0.2833333,1
28553,-0.026367190000000002,0.934082,-0.35693359999999996,-2.197266,-0.3662109,-0.793457,111.6376,4.987793,-128.8861,15.84167,-6.033333,-0.15833329999999998,1
28773,-0.01806641,0.9345703,-0.3623047,-0.3051758,-1.6479489999999999,-0.6103516,111.4838,4.8614500000000005,-129.0729,56.46667,-84.6,61.34167,1
29003,-0.02441406,0.9257812999999999,-0.3427734,-0.4882813,0.12207029999999999,-0.3051758,111.1981,4.740601,-129.1333,15.90833,-6.108333,0.1,1
29253,-0.02539063,0.9409179999999999,-0.35742189999999996,3.662109,0.6103516,-2.075195,111.6211,4.910889,-129.5123,56.575,-84.50833,61.3,1
29503,-0.02294922,0.9243163999999999,-0.3676758,2.380371,-1.281738,-0.9765625,112.1375,4.905396,-129.3146,15.875,-6.358333,0.2833333,1
29773,-0.020996090000000002,0.9291992,-0.3774414,1.281738,-0.6713867,-1.342773,112.4451,5.015259,-129.5068,15.79167,-6.458333,0.1,1
30003,-0.02392578,0.921875,-0.378418,0.8544921999999999,-0.793457,-0.6713867,112.6318,4.866943,-129.4244,56.56667,-83.925,62.21667,1
30273,-0.02392578,0.9228516,-0.3789063,0.24414059999999999,-0.3051758,-0.9765625,112.7307,4.855957,-129.5068,56.575,-83.99167,62.01667,1
30563,-0.02392578,0.9238280999999999,-0.378418,0.12207029999999999,-0.5493163999999999,-0.8544921999999999,112.7527,4.883423,-129.5453,15.725,-6.5,0.05,1
30803,-0.02001953,0.9233397999999999,-0.37988279999999996,0.42724609999999996,-0.5493163999999999,-0.793457,112.8351,4.795532,-129.5618,15.78333,-6.491667,0.075,1
31083,-0.022460940000000002,0.9199219,-0.37939449999999997,-0.6713867,-0.9155272999999999,-0.9155272999999999,112.9449,4.784546,-129.5947,56.49166,-83.85,62.38334,1
31363,-0.02148438,0.9169921999999999,-0.375,0.12207029999999999,-0.6103516,-1.037598,113.0328,4.822998,-129.6552,15.85,-6.475,-0.03333333,1
31633,-0.020996090000000002,0.9248046999999999,-0.3818359,-0.12207029999999999,-0.3662109,-0.9155272999999999,113.0328,4.855957,-129.809,15.675,-6.433333,0.1,1
31953,-0.0234375,0.9262695,-0.3911133,-2.075195,-0.06103516,-1.525879,113.1812,4.894409,-129.6277,15.54167,-6.508333,-0.2166667,1
32173,-0.02392578,0.9189453,-0.3745117,-1.525879,-2.868652,-1.098633,112.868,4.888916,-129.6442,15.68333,-6.283333,0.09166667,1
32363,-0.026367190000000002,0.9291992,-0.3852539,-1.342773,3.234863,-1.586914,112.8735,5.07019,-129.4904,15.49167,-6.55,0.04166667,1
32573,-0.03173828,0.9282227,-0.3745117,0.8544921999999999,-1.953125,-0.06103516,112.8296,4.943848,-129.4684,15.76667,-6.366667,-0.05,1
32783,-0.020996090000000002,0.9223633,-0.38818359999999996,0.8544921999999999,-1.525879,-1.281738,112.8571,4.872437,-129.7375,15.81667,-6.583333,0.025,1
33003,-0.024902340000000002,0.9233397999999999,-0.38037109999999996,0.06103516,-0.4882813,-1.037598,112.89,4.921875,-129.7815,56.71667,-83.775,62.18333,1
33243,-0.02392578,0.9233397999999999,-0.38085939999999996,0.3051758,0.3051758,-0.9155272999999999,112.9395,4.888916,-129.6716,15.75833,-6.5,0.0,1
34663,-0.02978516,0.9169921999999999,-0.3989258,0.42724609999999996,-0.4882813,-0.6103516,113.5162,5.273438,-130.0287,15.7,-6.675,0.125,1
34903,-0.028808590000000002,0.9199219,-0.39599609999999996,-0.12207029999999999,-0.6713867,-1.037598,113.5382,5.443726,-130.1111,56.76667,-83.3,62.725,1
35143,-0.02783203,0.9189453,-0.3916016,0.6713867,-0.3051758,-0.9765625,113.5822,5.592041,-130.188,15.60833,-6.708333,0.08333334,1
35433,-0.02783203,0.921875,-0.3862305,-2.01416,-0.6713867,-0.6103516,113.5327,5.685425,-130.3033,56.66667,-83.41666,62.61666,1
35734,-0.02294922,0.9213867,-0.3837891,-0.3051758,-0.3051758,-0.6713867,113.2471,5.679932,-130.3308,15.68333,-6.6,-0.08333334,1
36033,-0.02392578,0.9228516,-0.3842773,0.0,-0.3051758,-0.793457,113.1262,5.564575,-130.3198,56.63334,-83.59167,62.31667,1
36333,-0.02392578,0.9238280999999999,-0.3857422,2.197266,-1.159668,-1.037598,113.2581,5.564575,-130.4022,15.825,-6.641667,0.09166667,1
36633,-0.02685547,0.9150391,-0.3911133,0.8544921999999999,-1.037598,-0.6103516,113.4338,5.537109,-130.5176,56.55,-83.48333,62.41667,1
36943,-0.01953125,0.9140625,-0.39501949999999997,2.319336,-0.42724609999999996,-0.6103516,113.8953,5.482178,-130.7758,56.55,-83.3,62.925,1
37213,-0.02050781,0.9165038999999999,-0.4160156,3.173828,-0.06103516,-0.24414059999999999,114.5325,5.767822,-130.968,15.475,-7.308333,0.1666667,1
37503,-0.01220703,0.9443359,-0.45068359999999996,4.02832,-0.793457,-2.075195,114.2798,6.383057,-131.347,15.1,-6.866667,-0.2,1
