Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
0,0.1650391,0.9301758,-0.3369141,2.868652,-0.4882813,-0.06103516,105.1282,-10.51941,-150.0677,15.88333,-6.025,0.09166667,1
410,0.18603519999999998,0.9482421999999999,-0.3369141,-0.9155272999999999,-0.6103516,0.9765625,105.1831,-10.50842,-150.0403,16.23333,-5.525,-0.09166667,1
699,0.2587891,0.9672852,-0.3920898,-0.24414059999999999,-0.9765625,-0.24414059999999999,105.26,-10.73364,-150.5621,16.23333,-5.583333,0.7333333,1
999,0.1733398,0.9379883,-0.33349609999999996,2.197266,0.9155272999999999,3.2958979999999998,105.7159,-10.9259,-150.3204,15.64167,-5.658333,0.1333333,1
1299,0.20507809999999999,0.9306641,-0.3432617,0.0,-0.8544921999999999,0.06103516,106.3806,-11.43677,-149.9799,53.13334,-87.65833,80.30833,1
1599,0.20947269999999998,0.9438477,-0.3466797,1.159668,0.1831055,-0.06103516,106.3531,-11.26648,-150.1392,53.25,-87.65833,80.46667,1
1899,0.1914063,0.9448242,-0.33300779999999996,-4.02832,0.9765625,0.6103516,105.7654,-11.47522,-149.7766,52.99166,-88.05,79.79166,1
2209,0.2163086,0.9746094,-0.3071289,-9.887695,1.7700200000000001,-1.7700200000000001,104.1998,-11.1676,-149.7821,53.19167,-88.96667,78.69167,1
2559,0.1655273,0.9868163999999999,-0.2963867,-17.08984,2.319336,-3.662109,100.2942,-10.79956,-148.7494,16.825,-4.083333,-5.158333,1
2809,0.2192383,1.075195,-0.05615234,-71.5332,7.568359,-0.7324219,86.99524,-10.03052,-147.3706,53.4,-95.3,65.4,1
3119,0.1689453,0.9125977,0.1386719,-1.525879,3.845215,-3.662109,80.37598,-9.569092,-146.7554,53.66667,-96.3,61.5,1
3419,0.06982422,0.9047852,0.1552734,-5.859375,7.324219,2.197266,77.03064,-8.525391,-142.7069,16.31667,2.308333,0.008333334000000001,1
3719,0.16259769999999998,0.9794921999999999,0.1289063,-2.990723,1.6479489999999999,2.258301,76.84937,-8.338623,-141.817,53.01667,-96.46667,61.775,1
4020,0.1762695,1.02002,0.1572266,2.868652,-1.708984,-1.708984,79.11255,-8.530884,-142.3993,17.85833,2.133333,0.7000000000000001,1
4379,0.1196289,0.9750977,0.1333008,4.516602,-0.9155272999999999,-1.098633,81.11206,-8.327637,-142.7399,16.65,1.85,1.175,1
4639,0.12695309999999999,0.9726562999999999,0.02685547,19.16504,-4.516602,0.6103516,85.8252,-8.492431999999999,-143.5693,16.925,-0.2083333,3.116667,1
4959,0.1474609,1.023926,-0.08837891,27.03857,-7.141113,-0.12207029999999999,93.59253,-8.080444,-145.3217,16.96667,-2.8083329999999997,3.891667,1
5269,0.11621089999999999,0.9726562999999999,-0.2675781,20.75195,-0.8544921999999999,2.197266,100.871,-8.12439,-145.838,16.8,-5.016667,2.375,1
5499,0.1376953,0.9594727,-0.3139648,16.29639,-3.356934,-0.5493163999999999,104.0076,-8.22876,-146.5027,15.866670000000001,-5.1,2.066667,1
