Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
0,-0.01074219,0.9277344,-0.3764648,-8.361816,-5.432129,2.319336,109.4238,1.593018,115.9332,20.28333,-30.1,12.4,1
450,0.006835938000000001,0.9086913999999999,-0.3198242,-4.821777,1.89209,1.403809,108.5889,0.2526855,116.8506,15.88333,-5.541667,0.55,1
700,0.005859375,0.9399413999999999,-0.34960939999999996,-0.6103516,-1.586914,-1.220703,109.0503,0.20324709999999999,116.7957,18.96667,-30.56667,12.93333,1
990,0.0004882813,0.934082,-0.35595699999999997,0.6713867,0.1831055,-0.42724609999999996,109.1711,0.3790283,116.6638,15.93333,-6.016667,0.06666667,1
1190,-0.001953125,0.9311522999999999,-0.3515625,0.7324219,-0.793457,-0.3662109,109.2316,0.5053711,116.521,15.90833,-6.1,0.075,1
1400,-0.002929688,0.9345703,-0.35742189999999996,0.06103516,-0.3662109,-0.12207029999999999,109.2645,0.5822754,116.3892,15.93333,-6.066667,0.05833333,1
1700,-0.00390625,0.9311522999999999,-0.35644529999999996,0.6713867,-0.5493163999999999,0.06103516,109.281,0.6097412,116.2738,19.44167,-30.10833,13.08333,1
2010,-0.004394531,0.9321288999999999,-0.359375,0.5493163999999999,0.0,-0.06103516,109.325,0.6756592,116.12,19.44167,-30.03333,13.0,1
2320,-0.004882813000000001,0.9331054999999999,-0.35595699999999997,0.12207029999999999,-0.3662109,0.12207029999999999,109.3799,0.6811522999999999,116.0596,15.94167,-6.141667,-0.05,1
2570,-0.006347656,0.9335937999999999,-0.35644529999999996,-0.1831055,-0.1831055,0.0,109.4897,0.6646729,116.0046,15.93333,-6.091667,-0.09166667,1
2830,-0.005859375,0.9389647999999999,-0.3515625,-0.7324219,-0.793457,-0.12207029999999999,109.2096,0.7141113,115.8783,19.49167,-30.29167,12.65,1
3130,-0.004882813000000001,0.9438477,-0.35791019999999996,-0.4882813,-0.3051758,-0.1831055,108.9679,0.7580566,115.7904,16.025,-5.916667,-0.075,1
3380,-0.01757813,0.934082,-0.31787109999999996,-1.342773,-3.356934,-4.333496,108.7042,1.312866,115.5267,16.21667,-6.566667,0.5166666999999999,1
3620,-0.03613281,0.9306641,-0.3198242,-2.746582,-0.5493163999999999,-1.342773,108.5944,2.197266,115.1971,20.91667,-29.99167,11.725,1
4930,-0.015136720000000001,0.934082,-0.3515625,0.5493163999999999,-0.12207029999999999,0.0,109.0063,1.373291,115.3784,15.925,-5.875,0.05,1
5190,-0.01757813,0.9355469,-0.3520508,0.6103516,-0.24414059999999999,0.0,109.1382,1.373291,115.307,15.96667,-6.025,0.05,1
5500,-0.01855469,0.9355469,-0.3535156,-0.1831055,-0.12207029999999999,0.0,109.1272,1.378784,115.2301,16.0,-6.133333,0.05833333,1
5830,-0.01806641,0.9370117,-0.3447266,-0.5493163999999999,1.098633,0.9765625,108.8196,1.290894,115.1477,19.95833,-30.30833,12.76667,1
6080,-0.03125,0.9453125,-0.362793,3.78418,-2.197266,1.342773,109.1272,1.219482,114.9005,16.10833,-6.466667,-0.44166669999999997,1
6340,0.005371094000000001,0.9282227,-0.3696289,-6.286621,-1.342773,1.953125,108.7756,1.104126,114.137,15.825,-5.491667,0.275,1
6550,-0.001953125,0.9360352,-0.3369141,0.9155272999999999,0.12207029999999999,0.06103516,108.9844,0.7141113,114.7302,19.575,-30.45833,12.59167,1
6780,-0.0078125,0.934082,-0.3549805,0.0,-0.6103516,-0.1831055,109.1602,0.802002,114.5435,15.95833,-6.016667,-0.008333334000000001,1
7030,-0.005859375,0.9345703,-0.3535156,0.4882813,-0.7324219,0.12207029999999999,109.1821,0.7855225,114.3787,19.60833,-30.40833,12.76667,1
