Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
0,0.1362305,0.8881836,-0.4570313,-5.004883,5.187988,-6.469727,122.3602,-1.175537,6.520386,15.41667,-7.55,-1.033333,1
1261,0.07128906,0.9091796999999999,-0.38720699999999997,2.929688,-3.112793,-4.211426,117.9657,0.2087402,6.707153,50.75834,-83.79166,65.425,1
1520,0.07421875,0.8623046999999999,-0.4331055,5.004883,2.13623,2.929688,117.8119,0.1043701,6.064453,15.40833,-6.908333,1.033333,1
1780,0.1191406,0.9174804999999999,-0.3925781,2.380371,-2.563477,3.234863,118.6798,-0.5548096,5.685425,14.90833,-7.983333,0.3916667,1
1980,0.137207,0.9023437999999999,-0.4023438,0.06103516,1.708984,-0.9155272999999999,118.4216,-0.9942626999999999,5.471191,15.48333,-6.8,-0.1666667,1
2190,0.11083979999999999,0.8964844,-0.421875,-2.807617,-6.896973,-0.7324219,118.0042,-1.235962,5.641479,15.43333,-6.883333,0.325,1
2380,0.11083979999999999,0.9023437999999999,-0.409668,0.6103516,2.319336,-1.586914,118.0151,-1.241455,5.674438,15.35,-7.266667,0.3083333,1
2600,0.1289063,0.9091796999999999,-0.41113279999999996,0.793457,-1.708984,-0.6713867,118.1195,-1.697388,5.872192,15.45,-7.241667,-0.1666667,1
2900,0.09326172,0.9179687999999999,-0.4082031,-5.67627,2.01416,-0.3662109,117.2131,-1.911621,6.317139,15.53333,-6.741667,-0.9500000000000001,1
3210,0.1235352,0.9047852,-0.3666992,-1.586914,-7.751465,-0.8544921999999999,115.2466,-2.026978,4.954834,15.575,-6.308333,0.17500000000000002,1
3510,0.1337891,0.9082030999999999,-0.38720699999999997,4.638672,-4.760742,-1.953125,115.73,-1.521606,3.323364,50.825,-84.69167,64.06667,1
3810,0.09912109000000001,0.8940429999999999,-0.40283199999999997,3.662109,0.9155272999999999,-2.685547,116.4606,-1.296387,3.493652,15.325,-7.141667,0.6916667,1
4110,0.1103516,0.8959961,-0.4233398,-1.098633,-4.272461,0.9765625,117.2516,-1.669922,3.834229,50.85,-83.66666,65.5,1
4410,0.1123047,0.9003905999999999,-0.4248047,0.24414059999999999,0.9765625,-0.9155272999999999,117.323,-1.96106,3.55957,50.65,-83.61667,65.39167,1
4670,0.12060549999999999,0.8925780999999999,-0.4213867,0.3051758,1.89209,-0.3662109,117.2021,-2.208252,3.817749,15.2,-7.208333,-0.1333333,1
4920,0.128418,0.8955078,-0.4135742,-0.3051758,-0.24414059999999999,-0.7324219,116.7572,-2.521362,3.78479,50.275,-83.975,65.49167,1
5190,0.1259766,0.8891602,-0.4091797,2.258301,-0.793457,-1.403809,116.6418,-2.614746,3.80127,15.35,-7.0,0.2166667,1
5470,0.1289063,0.8959961,-0.4291992,1.7700200000000001,-0.7324219,-0.8544921999999999,117.1582,-2.680664,3.817749,15.225,-7.333333,0.2583333,1
5670,0.1254883,0.8930663999999999,-0.4301758,1.708984,-0.5493163999999999,-0.6103516,117.4438,-2.746582,3.828735,15.13333,-7.475,0.3833333,1
5860,0.1293945,0.890625,-0.4448242,1.708984,-0.06103516,-0.5493163999999999,117.9163,-2.823486,3.944092,15.075,-7.508333,0.03333333,1
6070,0.12695309999999999,0.8833008,-0.4482422,-0.4882813,-1.159668,-0.24414059999999999,118.136,-2.839966,4.059448,15.05833,-7.375,-0.01666667,1
6280,0.1259766,0.8867187999999999,-0.4326172,-0.42724609999999996,-0.12207029999999999,0.1831055,118.0042,-2.949829,4.053955,15.15,-7.516667,0.1083333,1
6500,0.1474609,0.8891602,-0.42626949999999997,0.42724609999999996,1.464844,-2.807617,117.9272,-3.273926,4.147339,49.71667,-83.51667,66.55833,1
6740,0.1303711,0.890625,-0.4526367,-0.9765625,4.150391,-6.164551,118.1689,-2.839966,5.174561,15.40833,-7.533333,-0.6416666999999999,1
7020,0.09521484000000001,0.8984375,-0.43457029999999996,-10.98633,6.164551,-2.075195,117.2571,-2.625732,6.740112,15.63333,-7.0,-1.75,1
7230,0.140625,0.9252929999999999,-0.34033199999999997,-9.887695,0.9765625,1.6479489999999999,113.4229,-3.158569,6.663208,49.13334,-85.9,64.18333,1
7470,0.1416016,0.9257812999999999,-0.3115234,-4.760742,-1.953125,-1.098633,111.4453,-3.224487,6.47644,15.98333,-5.066667,-0.36666669999999996,1
7730,0.128418,0.8803711,-0.3115234,7.141113,3.417969,-1.159668,111.2036,-3.339844,7.250977,48.925,-86.63333,63.34167,1
