Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
0,-0.01660156,1.01416,-0.1674805,-4.638672,-4.150391,6.225586,90.41199,0.32409669999999996,-143.5254,60.79167,-87.225,69.875,1
379,0.01757813,1.003906,-0.159668,0.7324219,-0.4882813,2.319336,89.82971,-0.3570557,-144.3933,17.28333,-2.983333,-0.1083333,1
579,0.01757813,1.003906,-0.159668,0.7324219,-0.4882813,2.319336,89.82971,-0.3570557,-144.3933,17.0,-2.358333,-0.3833333,1
779,0.01757813,1.003906,-0.159668,0.7324219,-0.4882813,2.319336,89.82971,-0.3570557,-144.3933,17.06667,-2.508333,-0.30000000000000004,1
979,0.01757813,1.003906,-0.159668,0.7324219,-0.4882813,2.319336,89.82971,-0.3570557,-144.3933,17.33333,-2.741667,-0.15833329999999998,1
1179,0.01757813,1.003906,-0.159668,0.7324219,-0.4882813,2.319336,89.82971,-0.3570557,-144.3933,17.0,-2.041667,-0.03333333,1
1399,0.02294922,1.009766,-0.1464844,-0.3051758,0.9765625,0.7324219,89.02222,-1.609497,-143.833,17.125,-2.416667,-0.09166667,1
1649,0.030273440000000002,1.002441,-0.1337891,0.9155272999999999,-0.6103516,0.793457,89.05518,-1.8182369999999999,-143.8495,59.35,-88.61667,68.84167,1
1949,0.04345703,1.007324,-0.15869139999999998,3.234863,1.281738,-0.42724609999999996,89.56055,-1.878662,-143.8989,17.35,-2.766667,0.125,1
2199,0.03564453,1.005371,-0.1542969,0.12207029999999999,2.13623,0.9155272999999999,89.75281,-2.147827,-143.7286,17.13333,-2.566667,-0.025,1
2459,0.04296875,1.002441,-0.15087889999999998,-0.42724609999999996,0.12207029999999999,0.06103516,89.70886,-2.323608,-143.3331,58.79167,-88.73333,69.58334,1
2759,0.05078125,1.001465,-0.15136719999999998,-0.42724609999999996,-0.4882813,-0.6103516,89.67041,-2.301636,-143.3716,17.18333,-2.5,-0.08333334,1
3009,0.04248047,1.003906,-0.1455078,-1.403809,-1.281738,-0.42724609999999996,89.45618,-2.142334,-143.6902,17.19167,-2.375,-0.2,1
3309,0.03710938,1.00293,-0.140625,0.8544921999999999,0.1831055,-0.42724609999999996,89.36279,-2.076416,-143.833,17.20833,-2.508333,0.04166667,1
3619,0.03369141,1.005371,-0.14697269999999998,0.6103516,0.3662109,-0.5493163999999999,89.58252,-2.015991,-143.6792,17.21667,-2.633333,0.0,1
3929,0.03466797,1.003906,-0.144043,-0.24414059999999999,-0.06103516,0.3051758,89.63745,-1.955566,-143.7726,17.16667,-2.583333,-0.01666667,1
4239,0.03417969,1.005371,-0.1455078,-0.6103516,0.06103516,0.5493163999999999,89.57703,-2.098389,-143.7506,17.21667,-2.508333,-0.15833329999999998,1
4569,0.03759766,1.007813,-0.144043,-0.8544921999999999,0.3662109,0.1831055,89.32983,-2.219238,-143.7177,17.14167,-2.366667,-0.1,1
4769,0.03369141,1.006348,-0.1386719,-0.24414059999999999,-0.3662109,0.12207029999999999,89.26392,-2.235718,-143.7396,17.2,-2.433333,0.0,1
4989,0.04003906,1.004883,-0.1420898,0.12207029999999999,0.0,0.0,89.32434,-2.2796629999999998,-143.8385,59.00834,-88.75,68.8,1
5229,0.0390625,1.005859,-0.1396484,0.24414059999999999,0.0,0.12207029999999999,89.36829,-2.290649,-143.866,17.16667,-2.408333,0.0,1
5469,0.04052734,1.006348,-0.1459961,0.5493163999999999,0.0,0.24414059999999999,89.53308,-2.400513,-143.833,59.04167,-88.85833,68.775,1
5719,0.04248047,1.008301,-0.1533203,-0.8544921999999999,-0.06103516,0.0,89.57703,-2.400513,-143.9044,17.15833,-2.433333,-0.17500000000000002,1
5989,0.04052734,1.004395,-0.1328125,-1.098633,0.6713867,0.12207029999999999,89.32983,-2.438965,-143.8,17.16667,-2.35,-0.05,1
6219,0.03662109,1.007813,-0.1376953,0.0,-0.3051758,0.1831055,89.32434,-2.411499,-143.833,59.05833,-88.85833,68.80833,1
6479,0.04150391,1.010254,-0.1435547,0.0,0.12207029999999999,-0.06103516,89.4342,-2.406006,-143.844,17.19167,-2.366667,-0.08333334,1
6709,0.03613281,1.003906,-0.1420898,-0.9155272999999999,-0.7324219,-0.6103516,89.5166,-2.356567,-143.9813,59.025,-88.80833,68.7,1
6979,0.04199219,0.9946288999999999,-0.11865229999999999,-0.1831055,0.3051758,0.4882813,89.26941,-2.444458,-143.855,17.14167,-2.275,0.1083333,1
7249,0.04296875,0.9985352,-0.1230469,-2.13623,-0.12207029999999999,1.403809,89.1925,-2.488403,-143.7177,17.08333,-2.175,0.01666667,1
7519,0.04296875,1.008789,-0.13525389999999998,0.1831055,0.4882813,-0.3051758,89.21448,-2.49939,-143.6957,58.93333,-88.89167,68.46667,1
7789,0.04296875,1.007813,-0.1308594,0.1831055,-0.1831055,-0.12207029999999999,89.23645,-2.488403,-143.6737,17.20833,-2.291667,0.01666667,1
8039,0.04003906,1.006348,-0.13134769999999998,-0.42724609999999996,-0.12207029999999999,0.12207029999999999,89.29688,-2.471924,-143.6792,17.15,-2.216667,0.05833333,1
8349,0.04052734,1.008301,-0.1323242,0.3051758,0.12207029999999999,0.3662109,89.37378,-2.504883,-143.6462,17.20833,-2.291667,0.01666667,1
8679,0.04443359,1.005859,-0.1333008,-0.06103516,-0.1831055,0.0,89.44519,-2.565308,-143.6627,17.2,-2.3,-0.01666667,1
8989,0.04248047,1.007324,-0.13525389999999998,-0.1831055,-0.06103516,-0.12207029999999999,89.44519,-2.532349,-143.7122,17.19167,-2.25,0.0,1
9229,0.04345703,1.007324,-0.1333008,-0.24414059999999999,0.12207029999999999,0.0,89.48364,-2.521362,-143.6957,58.98333,-89.025,68.84167,1
9469,0.04199219,1.008789,-0.137207,-0.24414059999999999,0.1831055,0.0,89.50012,-2.510376,-143.6737,17.19167,-2.266667,-0.008333334000000001,1
9709,0.04345703,1.008789,-0.1362305,-0.24414059999999999,0.5493163999999999,0.12207029999999999,89.49463,-2.537842,-143.6243,17.15,-2.233333,0.0,1
9919,0.04248047,1.008789,-0.1333008,-0.5493163999999999,0.12207029999999999,0.24414059999999999,89.48364,-2.543335,-143.6133,59.04167,-89.05,68.59167,1
