Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
0,0.07568359,1.017578,0.04541016,-0.3662109,-1.342773,-1.220703,90.17578,-4.328613,137.9059,17.3,0.8333332999999999,0.0,1
470,0.06933594,1.016113,0.05029297,-0.1831055,0.5493163999999999,0.3662109,90.07141,-4.119873,137.8564,17.26667,0.8666667,0.0,1
730,0.07177734,1.016602,0.04736328,0.3051758,-0.12207029999999999,0.0,90.0824,-4.141846,137.9938,17.31667,0.875,0.0,1
950,0.06884766,1.016602,0.05322266,-0.12207029999999999,-0.12207029999999999,0.12207029999999999,90.0824,-4.125366,137.9663,17.31667,0.8916666,0.03333333,1
1240,0.06884766,1.01709,0.05175781,0.0,-0.06103516,0.06103516,90.09888,-4.141846,137.9498,17.33333,0.8416665999999999,0.0,1
1450,0.06884766,1.015137,0.04931641,0.0,0.24414059999999999,-0.06103516,90.09888,-4.141846,138.0048,50.93333,-96.15833,58.21667,1
1740,0.0703125,1.016113,0.05029297,0.0,-0.1831055,0.0,90.10437,-4.130859,138.0103,17.33333,0.8166667,0.01666667,1
1970,0.07080078000000001,1.015137,0.05078125,0.7324219,0.12207029999999999,0.0,90.18127,-4.11438,138.0762,50.79167,-96.19167,58.4,1
2270,0.07080078000000001,1.014648,0.04833984,0.42724609999999996,0.0,0.0,90.29663,-4.103394,138.0597,50.84167,-96.125,58.36666,1
2570,0.07177734,1.015625,0.04394531,0.0,0.0,0.0,90.35706,-4.092407,138.0212,50.83333,-96.225,58.45833,1
2870,0.0703125,1.013672,0.04785156,0.1831055,-0.3051758,0.0,90.38452,-4.086914,137.9718,17.28333,0.8166667,0.025,1
3180,0.07128906,1.014648,0.04736328,0.0,0.12207029999999999,0.0,90.39551,-4.086914,137.9718,50.85833,-96.33334,58.45833,1
3480,0.07128906,1.014648,0.04345703,0.7324219,0.7324219,-0.5493163999999999,90.41748,-4.01001,138.0542,17.36667,0.75,0.06666667,1
3780,0.06445313,1.01416,0.04541016,0.793457,-0.12207029999999999,-0.5493163999999999,90.52734,-3.7683109999999997,137.9663,51.16667,-95.825,58.63334,1
4080,0.06298828000000001,1.024414,0.03808594,0.12207029999999999,-0.3662109,0.0,90.52185,-3.696899,138.0377,17.35,0.8083332999999999,-0.03333333,1
4391,0.06298828000000001,1.015137,0.04248047,0.06103516,0.0,0.0,90.4834,-3.66394,138.0103,17.375,0.775,-0.008333334000000001,1
4660,0.06298828000000001,1.015625,0.04785156,-0.6713867,0.12207029999999999,0.3051758,90.19226,-3.6804200000000002,138.0487,51.16667,-96.06667,58.21667,1
4990,0.06542969,1.012207,0.05371094,-0.1831055,0.3051758,0.1831055,90.0769,-3.751831,138.0597,51.05,-95.99167,58.14167,1
5320,0.06347656,1.014648,0.04931641,0.0,-0.12207029999999999,0.0,90.11536,-3.751831,138.0597,17.31667,0.8833333,0.0,1
5560,0.06591797,1.013184,0.04931641,0.12207029999999999,0.1831055,0.0,90.12085,-3.746338,138.0487,17.34167,0.8666667,0.01666667,1
5770,0.06494141,1.014648,0.05175781,0.24414059999999999,0.0,0.3662109,90.13733,-3.773804,138.0377,17.30833,0.8916666,0.04166667,1
5990,0.06738281,1.015625,0.046875,0.3051758,0.1831055,0.3051758,90.26917,-3.867188,138.0048,50.98333,-96.14167,58.40833,1
6230,0.06884766,1.01416,0.04736328,0.24414059999999999,-0.12207029999999999,0.06103516,90.30212,-3.883667,138.0048,17.325,0.7833333,0.025,1
6470,0.06689453000000001,1.016602,0.048828130000000004,0.24414059999999999,0.3051758,0.24414059999999999,90.30762,-3.911133,137.9828,50.85833,-96.11667,58.36666,1
6730,0.06738281,1.012695,0.04736328,0.3662109,0.1831055,0.0,90.3241,-3.90564,137.9718,17.325,0.8,0.04166667,1
7000,0.07128906,1.016113,0.044921880000000004,0.6103516,0.0,0.3051758,90.41748,-3.971558,137.9883,50.90833,-96.13333,58.425,1
8350,0.07128906,1.01709,0.04296875,0.06103516,-0.4882813,0.0,90.5658,-4.053955,138.0212,17.36667,0.6916667,0.03333333,1
8620,0.06835938,1.017578,0.04052734,0.06103516,0.1831055,0.0,90.5603,-4.042969,137.9883,50.78333,-96.13333,58.60833,1
8880,0.07080078000000001,1.013672,0.04150391,-0.1831055,0.24414059999999999,0.0,90.51086,-4.037476,137.9828,50.89167,-96.13333,58.51667,1
9190,0.07177734,1.009766,0.03955078,0.4882813,-0.1831055,0.0,90.49438,-4.031982,137.9663,17.34167,0.75,0.08333334,1
9430,0.07226563,1.016113,0.0390625,0.0,-0.1831055,0.0,90.53284,-4.031982,138.0267,17.325,0.6916667,0.01666667,1
9700,0.07128906,1.01709,0.03955078,0.5493163999999999,0.4882813,0.0,90.54382,-4.031982,138.0267,50.85,-96.08334,58.86666,1
10020,0.07177734,1.01416,0.04248047,0.3051758,-0.4882813,0.1831055,90.58777,-4.031982,138.0652,50.79167,-96.14167,58.86666,1
10330,0.07080078000000001,1.012695,0.03759766,0.42724609999999996,0.24414059999999999,0.0,90.64819,-4.064941,138.0762,17.33333,0.6083333,0.04166667,1
